reportingYear,EPRTRAnnexIMainActivity,Longitude,Latitude,Pollutant,Releases,distance_from_rome_km,Sector_Chemical industry,Sector_Energy sector,Sector_Intensive livestock production and aquaculture,Sector_Mineral industry,Sector_Other activities,Sector_Paper and wood production and processing,Sector_Production and processing of metals,Sector_Waste and wastewater management
2022,7(a),10.725,45.2139,Ammonia (NH3),23488.0,394.85108476118614,0,0,1,0,0,0,0,0
2021,7(a),11.1975,45.0367,Ammonia (NH3),19446.0,363.88276709619555,0,0,1,0,0,0,0,0
2022,7(a),10.3511,45.3533,Ammonia (NH3),15766.0,420.69931035990237,0,0,1,0,0,0,0,0
2023,5(d),12.1097,42.7517,Methane (CH4),1416915.0,99.60234411503073,0,0,0,0,0,0,0,1
2024,2(b),12.6667,42.5667,Carbon monoxide (CO),946700.0,75.14187357873665,0,0,0,0,0,0,1,0
2023,7(a),10.7386,45.0669,Ammonia (NH3),24594.0,379.31229570763725,0,0,1,0,0,0,0,0
2024,4(b),10.7951,42.9236,Sulphur oxides (SOX),466539.0,179.9690791802994,1,0,0,0,0,0,0,0
2023,9(c),14.268,40.9145,Non-methane volatile organic compounds (NMVOC),239980.0,184.12838928953803,0,0,0,0,1,0,0,0
2023,7(a),14.0737,42.5496,Ammonia (NH3),27926.2,148.45474117049594,0,0,1,0,0,0,0,0
2024,7(a),10.8764,45.0906,Ammonia (NH3),35950.0,377.7639219671862,0,0,1,0,0,0,0,0
2023,7(a),7.6753,44.7019,Ammonia (NH3),14243.0,498.9214971192758,0,0,1,0,0,0,0,0
2022,9(b),11.3389,45.5264,Non-methane volatile organic compounds (NMVOC),178422.5,413.5127348650149,0,0,0,0,1,0,0,0
2023,2(e),8.4079,39.2091,Carbon dioxide (CO2),183384000.0,457.08909962129064,0,0,0,0,0,0,1,0
2023,1(c),17.2878,40.951,Nitrogen oxides (NOX),533777.0,413.19609429625575,0,1,0,0,0,0,0,0
2022,1(a),15.1905,37.2216,Arsenic and compounds (as As),25.7569,569.3767495576742,0,1,0,0,0,0,0,0
2024,7(a),9.8721,45.3647,Ammonia (NH3),30458.0,439.0157642852939,0,0,1,0,0,0,0,0
2024,7(a),9.808314,45.176864,Ammonia (NH3),34541.0,423.5972553646852,0,0,1,0,0,0,0,0
2022,7(a),8.9206,45.2328,Methane (CH4),127956.0,469.0462435895874,0,0,1,0,0,0,0,0
2023,1(a),17.193,40.4892,Benzene,3085.1583,423.1599159692294,0,1,0,0,0,0,0,0
2023,3(c),13.258717,42.463755,Carbon dioxide (CO2),173950000.0,88.52024109973759,0,0,0,1,0,0,0,0
2023,1(c),8.1927,45.2377,Nitrogen oxides (NOX),241320.0,507.5180888612842,0,1,0,0,0,0,0,0
2021,7(a),12.1582,43.9644,Ammonia (NH3),21490.0,230.88634819748268,0,0,1,0,0,0,0,0
2021,1(c),12.5905,37.8765,Carbon dioxide (CO2),114294000.0,447.7760198062416,0,1,0,0,0,0,0,0
2021,7(a),7.6681,44.4139,Ammonia (NH3),16881.0,480.84597016331213,0,0,1,0,0,0,0,0
2021,4(e),9.3922,45.4247,Non-methane volatile organic compounds (NMVOC),531960.0,464.3628825440945,1,0,0,0,0,0,0,0
2021,1(c),12.9717,41.7625,Carbon dioxide (CO2),116049000.0,42.35660394644801,0,1,0,0,0,0,0,0
2023,3(c),10.3444,45.5153,Benzene,4368.5,437.306929605887,0,0,0,1,0,0,0,0
2024,3(c),9.81,44.7667,Carbon dioxide (CO2),424999453.7,385.45810832592576,0,0,0,1,0,0,0,0
2023,4(e),13.2664,45.8193,Hydro-fluorocarbons (HFCS),147.3,439.8423537564886,1,0,0,0,0,0,0,0
2023,3(c),13.2503,38.190833,Carbon dioxide (CO2),263673000.0,417.7054329667705,0,0,0,1,0,0,0,0
2022,1(a),15.2723,38.2027,Nitrogen oxides (NOX),1552200.0,474.37811556178303,0,1,0,0,0,0,0,0
2022,1(c),8.739,45.5212,Carbon monoxide (CO),600000.0,502.9487066098593,0,1,0,0,0,0,0,0
2024,2(b),11.5083,45.5194,Polychlorinated biphenyls (PCBs),0.2577,409.9050166276053,0,0,0,0,0,0,1,0
2024,2(b),13.0778,46.2306,PCDD + PCDF (dioxins + furans) (as Teq),0.000325,483.46211416770933,0,0,0,0,0,0,1,0
2021,7(a)(ii),9.7425,45.21,Ammonia (NH3),20033.0,429.4498027026977,0,0,1,0,0,0,0,0
2021,3(e),12.5389,42.6069,Nitrogen oxides (NOX),104700.0,78.37044147585021,0,0,0,1,0,0,0,0
