Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting),Observation Frequency
"Italy","NET.IT112A","Regione Lazio","IT0825A","C.SO FRANCIA","SPO.IT0825A_8_chemi_1997-10-01_00:00:00","NO2","Nitrogen dioxide (air)","P1Y-3hAbove200","3 consecutive hours in exceedance of 200","2024","0.000","count","94.13","1","Traffic","Urban","12.4696","41.9474","35.0","Roma                                                                            ","IT001C1                                           ","2808293","E1a/validated data AQ e-Reporting","07/03/2026 22:58:33","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT0825A_8_chemi_1997-10-01_00_00_00.parquet","hour"
"Italy","NET.IT112A","Regione Lazio","IT0953A","VILLA ADA","SPO.IT0953A_1_UV-FL_1997-01-01_00:00:00","SO2","Sulphur dioxide (air)","P1Y-daysAbove50","1 year day exceed 50","2024","0.000","count","93.44","1","Background","Urban","12.5069","41.9329","50.0","Roma                                                                            ","IT001C1                                           ","2808293","E1a/validated data AQ e-Reporting","07/03/2026 22:59:41","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT0953A_1_UV-FL_1997-01-01_00_00_00.parquet","hour"
"Italy","NET.IT112A","Regione Lazio","IT0825A","C.SO FRANCIA","SPO.IT0825A_8_chemi_1997-10-01_00:00:00","NO2","Nitrogen dioxide (air)","P1Y-hr-per50","1 year 50 percentile","2024","33.124","ug/m3","94.13","1","Traffic","Urban","12.4696","41.9474","35.0","Roma                                                                            ","IT001C1                                           ","2808293","E1a/validated data AQ e-Reporting","07/03/2026 23:00:56","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT0825A_8_chemi_1997-10-01_00_00_00.parquet","hour"
"Italy","NET.IT112A","Regione Lazio","IT0825A","C.SO FRANCIA","SPO.IT0825A_8_chemi_1997-10-01_00:00:00","NO2","Nitrogen dioxide (air)","P1Y-P1D-per99","1 year 99 percentile of daily means (P1D) or .../aq/primaryObservation/day","2024","47.564","ug/m3","98.36","1","Traffic","Urban","12.4696","41.9474","35.0","Roma                                                                            ","IT001C1                                           ","2808293","E1a/validated data AQ e-Reporting","07/03/2026 23:01:47","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT0825A_8_chemi_1997-10-01_00_00_00.parquet","hour"
"Italy","NET.IT112A","Regione Lazio","IT0953A","VILLA ADA","SPO.IT0953A_431_other_1997-10-01_00:00:00","C6H5-C2H5","Ethyl benzene (air)","P1Y-hr-min","1 year hour min","2024","0.000","ug/m3","93.85","1","Background","Urban","12.5069","41.9329","50.0","Roma                                                                            ","IT001C1                                           ","2808293","E1a/validated data AQ e-Reporting","07/03/2026 23:00:48","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT0953A_431_other_1997-10-01_00_00_00.parquet","hour"
"Italy","NET.IT112A","Regione Lazio","IT0953A","VILLA ADA","SPO.IT0953A_431_other_1997-10-01_00:00:00","C6H5-C2H5","Ethyl benzene (air)","P1Y-hr-per50","1 year 50 percentile","2024","0.000","ug/m3","93.85","1","Background","Urban","12.5069","41.9329","50.0","Roma                                                                            ","IT001C1                                           ","2808293","E1a/validated data AQ e-Reporting","07/03/2026 23:00:56","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT0953A_431_other_1997-10-01_00_00_00.parquet","hour"
"Italy","NET.IT112A","Regione Lazio","IT0956A","CINECITTA","SPO.IT0956A_7_UV-P_2006-06-01_00:00:00","O3","Ozone (air)","P1Y","Annual mean / 1 calendar year","2024","41.454","ug/m3","95.65","1","Background","Urban","12.5687","41.8577","48.0","Roma                                                                            ","IT001C1                                           ","2808293","E1a/validated data AQ e-Reporting","07/03/2026 22:58:16","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT0956A_7_UV-P_2006-06-01_00_00_00.parquet","hour"
"Italy","NET.IT112A","Regione Lazio","IT0953A","VILLA ADA","SPO.IT0953A_1_UV-FL_1997-01-01_00:00:00","SO2","Sulphur dioxide (air)","P1Y-day-per50","1 year 50 %ile of daily values in a year","2024","1.089","ug/m3","93.44","1","Background","Urban","12.5069","41.9329","50.0","Roma                                                                            ","IT001C1                                           ","2808293","E1a/validated data AQ e-Reporting","07/03/2026 22:59:18","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT0953A_1_UV-FL_1997-01-01_00_00_00.parquet","hour"
"Italy","NET.IT112A","Regione Lazio","IT0956A","CINECITTA","SPO.IT0956A_7_UV-P_2006-06-01_00:00:00","O3","Ozone (air)","P1Y-hr-per50","1 year 50 percentile","2024","40.319","ug/m3","95.65","1","Background","Urban","12.5687","41.8577","48.0","Roma                                                                            ","IT001C1                                           ","2808293","E1a/validated data AQ e-Reporting","07/03/2026 23:00:56","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT0956A_7_UV-P_2006-06-01_00_00_00.parquet","hour"
"Italy","NET.IT112A","Regione Lazio","IT1837A","FERMI","SPO.IT1837A_10_NDIR_2006-12-17_00:00:00","CO","Carbon monoxide (air)","P1Y-dx-max","1 year day max max","2024","2.982","mg/m3","98.36","1","Traffic","Urban","12.4696","41.8640","17.0","Roma                                                                            ","IT001C1                                           ","2808293","E1a/validated data AQ e-Reporting","07/03/2026 23:00:13","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1837A_10_NDIR_2006-12-17_00_00_00.parquet","hour"
"Italy","NET.IT112A","Regione Lazio","IT0956A","CINECITTA","SPO.IT0956A_7_UV-P_2006-06-01_00:00:00","O3","Ozone (air)","P3Y","3 subsequent calendar years mean","2024","46.275","ug/m3","96.21","1","Background","Urban","12.5687","41.8577","48.0","Roma                                                                            ","IT001C1                                           ","2808293","E1a/validated data AQ e-Reporting","07/03/2026 23:01:54","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT0956A_7_UV-P_2006-06-01_00_00_00.parquet","hour"
"Italy","NET.IT112A","Regione Lazio","IT0825A","C.SO FRANCIA","SPO.IT0825A_9_chemi_1997-10-01_00:00:00","NOX as NO2","Nitrogen oxides (air)","P1Y-day-max","1 year day max","2024","206.039","ug/m3","98.36","1","Traffic","Urban","12.4696","41.9474","35.0","Roma                                                                            ","IT001C1                                           ","2808293","E1a/validated data AQ e-Reporting","07/03/2026 22:58:50","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT0825A_9_chemi_1997-10-01_00_00_00.parquet","hour"
"Italy","NET.IT112A","Regione Lazio","IT1835A","BUFALOTTA","SPO.IT1835A_38_chemi_2019-03-18_00:00:00","NO","Nitrogen monoxide (air)","P1Y-day-max","1 year day max","2024","116.403","ug/m3","94.81","1","Background","Urban","12.5337","41.9477","36.0","Roma                                                                            ","IT001C1                                           ","2808293","E1a/validated data AQ e-Reporting","07/03/2026 22:58:50","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1835A_38_chemi_2019-03-18_00_00_00.parquet","hour"
"Italy","NET.IT112A","Regione Lazio","IT1835A","BUFALOTTA","SPO.IT1835A_7_UV-P_2006-12-06_00:00:00","O3","Ozone (air)","SOMO35","Sum of Ozone Means Over 35 ppb","2024","3755.198","ug/m3","95.90","1","Background","Urban","12.5337","41.9477","36.0","Roma                                                                            ","IT001C1                                           ","2808293","E1a/validated data AQ e-Reporting","07/03/2026 23:07:25","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT1835A_7_UV-P_2006-12-06_00_00_00.parquet","hour"
"Italy","NET.IT112A","Regione Lazio","IT0953A","VILLA ADA","SPO.IT0953A_1_UV-FL_1997-01-01_00:00:00","SO2","Sulphur dioxide (air)","P1Y-hr-max-per99.73","1 year 99.73 %ile of hourly values in a given year","2024","6.461","ug/m3","91.42","1","Background","Urban","12.5069","41.9329","50.0","Roma                                                                            ","IT001C1                                           ","2808293","E1a/validated data AQ e-Reporting","07/03/2026 23:00:36","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT0953A_1_UV-FL_1997-01-01_00_00_00.parquet","hour"
"Italy","NET.IT112A","Regione Lazio","IT0953A","VILLA ADA","SPO.IT0953A_1_UV-FL_1997-01-01_00:00:00","SO2","Sulphur dioxide (air)","P1Y-P1D-per99","1 year 99 percentile of daily means (P1D) or .../aq/primaryObservation/day","2024","5.362","ug/m3","93.44","1","Background","Urban","12.5069","41.9329","50.0","Roma                                                                            ","IT001C1                                           ","2808293","E1a/validated data AQ e-Reporting","07/03/2026 23:01:47","https://eeadmz1batchservice02.blob.core.windows.net/airquality-p-e1a/IT/SPO.IT0953A_1_UV-FL_1997-01-01_00_00_00.parquet","hour"
